322,Fertiliser application: 296 kg/ha DoubleTop into LITTLE KNOTT 1,LITTLE KNOTT 1,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>296 Kg/ha Double Top gives 80 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
323,Fertiliser application: 296 kg/ha DoubleTop into LITTLE KNOTT 2,LITTLE KNOTT 2,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>296 Kg/ha Double Top gives 80 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
324,Fertiliser application: 296 kg/ha DoubleTop into SAWYERS 2,SAWYERS 2,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>296 Kg/ha Double Top gives 80 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
325,Fertiliser application: 296 kg/ha DoubleTop into SAWYERS 4,SAWYERS 4,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>296 Kg/ha Double Top gives 80 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
326,Fertiliser application: 296 kg/ha DoubleTop into NEW ZEALAND,NEW ZEALAND,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>296 Kg/ha Double Top gives 80 Kg/ha N<br />\nDid not apply N to CS/760 or 24m surrounding area</p>\n', 'format': 'farm_format'}",[]
327,Fertiliser application: 296 kg/ha DoubleTop into PARKLANDS,PARKLANDS,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>296 Kg/ha Double Top gives 80 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
328,Fertiliser application: 125 kg/ha DoubleTop into SUMMERDELLS 1,SUMMERDELLS 1,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>125 Kg/ha Double Top gives 33.75 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
329,Fertiliser application: 125 kg/ha DoubleTop into SUMMERDELLS 2,SUMMERDELLS 2,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>125 Kg/ha Double Top gives 33.75 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
330,Fertiliser application: 125 kg/ha DoubleTop into BONES CLOSE,BONES CLOSE,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>125 Kg/ha Double Top gives 33.75 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
331,Fertiliser application: 319 kg/ha Nitram into WHITEHORSE 2,WHITEHORSE 2,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>319 Kg/ha Double Top gives 110 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
332,Fertiliser application: 319 kg/ha Nitram into SAWYERS 3,SAWYERS 3,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>319 Kg/ha Double Top gives 110 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
333,Fertiliser application: 319 kg/ha Nitram into HIGHFIELD 4,HIGHFIELD 4,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>319 Kg/ha Double Top gives 110 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
334,Fertiliser application: 319 kg/ha Nitram into HIGHFIELD 5/6,HIGHFIELD 5/6,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>319 Kg/ha Double Top gives 110 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
335,Fertiliser application: 319 kg/ha Nitram into PASTURES,PASTURES,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>319 Kg/ha Double Top gives 110 Kg/ha N<br />\nDid not apply N to area for CM/2053 or 12m surrounding area</p>\n', 'format': 'farm_format'}",[]
352,Fertiliser application: 185 kg/ha DoubleTop into OSIER,2020/R/WW/2006;2020/R/WW/2011;2020/R/WW/2017;2020/R/WW/2026;2020/R/WW/2030;2020/R/WW/2031+2034;2020/R/WW/2035+2046;2020/R/WW/2039;2020/R/WW/2042;2020/R/WW/2045,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>185 Kg/ha Double Top gives 50 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
391,Fertiliser application: 185 kg/ha DoubleTop into OSIER,OSIER,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>185 kg/ha Double top gives 50 kg/ha N</p>\n', 'format': 'farm_format'}",[]
