log_id,log_date,log_name,field,areas,equipment_list,categories,hours,count,depth,notes,raw_notes,raw_quantity
https://rothamstedfarm.farmos.net/log/1780,2020-07-24 00:00:00,Baling Grass,RRES LSRE Site,RRES LSRE Site,Claas Baler;JD6230,Baling,,,,Inversion grass plots;,"<p>Inversion grass plots</p>
",[]
https://rothamstedfarm.farmos.net/log/1784,2020-08-05 00:00:00,Topping,Broadbalk Wilderness Mown Area,Broadbalk Wilderness Mown Area,MF3070;Topper 9,Topping,,,,,,[]
https://rothamstedfarm.farmos.net/log/1786,2020-07-30 00:00:00,Path cutting ,BYLANDS,2020/R/WW/2014;2020/R/WW/2016,JD5620;McConnel SE 6 Topper,Topping,,,,,,[]
https://rothamstedfarm.farmos.net/log/1787,2020-07-31 00:00:00,Path cutting,MEADOW,2020/R/WW/2029;2020/R/WW/2032;2020/R/WW/2017;2020/R/WW/2045,McConnel SE 6 Topper;JD5620,Topping,,,,,,[]
https://rothamstedfarm.farmos.net/log/1793,2020-08-12 00:00:00,Cultivation: Ploughed Tillage 0 cm in GREAT KNOTT 2,GREAT KNOTT 2,GREAT KNOTT 2,JD6930;Philip Watkins Press,Cultipressing,4:30:00,,0 cm,,,"[{'measure': 'length', 'value': '0', 'unit': {'uri': 'https://rothamstedfarm.farmos.net/taxonomy_term/238', 'id': '238', 'resource': 'taxonomy_term', 'name': 'cm'}, 'label': False}, {'measure': 'time', 'value': '4.5', 'unit': {'uri': 'https://rothamstedfarm.farmos.net/taxonomy_term/262', 'id': '262', 'resource': 'taxonomy_term', 'name': 'hours'}, 'label': False}]"
https://rothamstedfarm.farmos.net/log/1794,2020-08-12 00:00:00,Cultivation: Ploughed Tillage 0 cm in GREAT KNOTT 3,GREAT KNOTT 3,GREAT KNOTT 3,JD6930;Philip Watkins Press,Cultipressing,4:30:00,,0 cm,,,"[{'measure': 'length', 'value': '0', 'unit': {'uri': 'https://rothamstedfarm.farmos.net/taxonomy_term/238', 'id': '238', 'resource': 'taxonomy_term', 'name': 'cm'}, 'label': False}, {'measure': 'time', 'value': '4.5', 'unit': {'uri': 'https://rothamstedfarm.farmos.net/taxonomy_term/262', 'id': '262', 'resource': 'taxonomy_term', 'name': 'hours'}, 'label': False}]"
https://rothamstedfarm.farmos.net/log/1795,2020-08-10 00:00:00,Cultivation: Ploughed Tillage 20 cm in GREAT KNOTT 2,GREAT KNOTT 2,GREAT KNOTT 2,NHT7210;KV Five Furrow Plough,Ploughing,17:00:00,,20 cm,Started;,"<p>Started</p>
","[{'measure': 'length', 'value': '20', 'unit': {'uri': 'https://rothamstedfarm.farmos.net/taxonomy_term/238', 'id': '238', 'resource': 'taxonomy_term', 'name': 'cm'}, 'label': False}, {'measure': 'time', 'value': '17', 'unit': {'uri': 'https://rothamstedfarm.farmos.net/taxonomy_term/262', 'id': '262', 'resource': 'taxonomy_term', 'name': 'hours'}, 'label': False}]"
https://rothamstedfarm.farmos.net/log/1796,2020-08-11 00:00:00,Cultivation: Ploughed Tillage 20 cm in GREAT KNOTT 2,GREAT KNOTT 2,GREAT KNOTT 2,NHT7210;KV Five Furrow Plough,Ploughing,17:00:00,,20 cm,Finished;,"<p>Finished</p>
","[{'measure': 'length', 'value': '20', 'unit': {'uri': 'https://rothamstedfarm.farmos.net/taxonomy_term/238', 'id': '238', 'resource': 'taxonomy_term', 'name': 'cm'}, 'label': False}, {'measure': 'time', 'value': '17', 'unit': {'uri': 'https://rothamstedfarm.farmos.net/taxonomy_term/262', 'id': '262', 'resource': 'taxonomy_term', 'name': 'hours'}, 'label': False}]"
https://rothamstedfarm.farmos.net/log/1797,2020-08-10 00:00:00,Cultivation: Ploughed Tillage 20 cm in GREAT KNOTT 3,GREAT KNOTT 3,GREAT KNOTT 3,NHT7210;Knight 24m Sprayer,Ploughing,17:00:00,,20 cm,Started;,"<p>Started</p>
","[{'measure': 'length', 'value': '20', 'unit': {'uri': 'https://rothamstedfarm.farmos.net/taxonomy_term/238', 'id': '238', 'resource': 'taxonomy_term', 'name': 'cm'}, 'label': False}, {'measure': 'time', 'value': '17', 'unit': {'uri': 'https://rothamstedfarm.farmos.net/taxonomy_term/262', 'id': '262', 'resource': 'taxonomy_term', 'name': 'hours'}, 'label': False}]"
https://rothamstedfarm.farmos.net/log/1798,2020-08-11 00:00:00,Cultivation: Ploughed Tillage 20 cm in GREAT KNOTT 3,GREAT KNOTT 3,GREAT KNOTT 3,NHT7210;Knight 24m Sprayer,Ploughing,17:00:00,,20 cm,Finished;,"<p>Finished</p>
","[{'measure': 'length', 'value': '20', 'unit': {'uri': 'https://rothamstedfarm.farmos.net/taxonomy_term/238', 'id': '238', 'resource': 'taxonomy_term', 'name': 'cm'}, 'label': False}, {'measure': 'time', 'value': '17', 'unit': {'uri': 'https://rothamstedfarm.farmos.net/taxonomy_term/262', 'id': '262', 'resource': 'taxonomy_term', 'name': 'hours'}, 'label': False}]"
https://rothamstedfarm.farmos.net/log/1844,2020-08-27 00:00:00,Topping,WHITEHORSE 2,WHITEHORSE 2,Batwing Topper;JD6830;JD6930,Topping,,,,,,[]
